param,low,high,swing
Electricity (€/kWh),9.652738529495664,11.39033002494744,0.8687957477258879
Discount Rate,10.33959576261779,10.717854396932122,0.18912931715716574
Degradation Rate,10.330464129192954,10.575326368268186,0.12243111953761598
CAPEX (€/kW),10.52153427722155,10.52153427722155,0.0
