re_fraction,size_MW,storage_kg,LCOH,LCOH_credits,LCOH_capex,LCOH_opex,LCOH_elec,NPV_M,IRR,payback,CAPEX_M,H2_total_t,H2_annual_t,SEC,CF,op_hours,replacements,curtailment,demand_total_t,unmet_demand_t,unmet_demand_pct,demand_met_pct
0.2,5,2000,8.694905393713901,8.148413220860261,3.090289102574973,0.5822803173380524,4.213574845368915,13.482241053798544,24.782995182120118,4,12.606,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,4000,9.315007338144936,8.768515165291296,3.5514055393466313,0.5822803173380524,4.213574845368915,10.952702602207035,20.187266703144598,5,14.487,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,6000,9.93510928257597,9.38861710972233,4.012521976118289,0.5822803173380524,4.213574845368915,8.423164150615516,16.518427080118624,5,16.368,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,8000,10.555211227007007,10.008719054153369,4.473638412889947,0.5822803173380524,4.213574845368915,5.893625699024003,13.486937613364667,6,18.249,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,10000,11.175313171438042,10.628820998584404,4.934754849661606,0.5822803173380524,4.213574845368915,3.364087247432485,10.912651854593946,7,20.13,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,12000,11.795415115869076,11.248922943015438,5.395871286433264,0.5822803173380524,4.213574845368915,0.8345487958409712,8.677528481119898,9,22.011,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,15000,12.725568032515628,12.179075859661989,6.087545941590752,0.5822803173380524,4.213574845368915,-2.9597588815462963,5.79083573988463,10,24.8325,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,18000,13.655720949162182,13.109228776308543,6.779220596748239,0.5822803173380524,4.213574845368915,-6.754066558933571,3.3090621937213114,12,27.654,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,21000,14.585873865808736,14.039381692955097,7.470895251905726,0.5822803173380524,4.213574845368915,-10.548374236320846,1.1163845526414735,14,30.4755,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,5,24000,15.516026782455286,14.969534609601649,8.162569907063213,0.5822803173380524,4.213574845368915,-14.342681913708116,-0.865445387005537,16,33.297,7156.055518025411,477.07036786836073,65.4084130389844,0.5827995924551865,104844,1,0.350565116998234,31881.7565983104,24868.930913331733,78.00364084910454,21.99635915089546
0.2,10,2000,9.65424419217937,9.132065427477428,4.277052678000044,0.870866417671179,3.558539476511122,12.795921133675277,17.152164554665294,5,23.331,9548.198368948177,636.5465579298784,63.93002671810801,0.38981908517962677,90642,1,0.12994697443292527,31881.7565983104,22540.06062563027,70.69892951514724,29.301070484852765
0.2,10,4000,10.114108936936226,9.591930172234285,4.621878707202311,0.870866417671179,3.558539476511122,10.28739361071309,14.936002701391676,6,25.212,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,6000,10.573973681693083,10.051794916991144,4.966704736404577,0.870866417671179,3.558539476511122,7.778866087750904,12.969977118637036,6,27.093,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,8000,11.033838426449945,10.511659661748004,5.311530765606844,0.870866417671179,3.558539476511122,5.270338564788703,11.20532390767132,7,28.974,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,10000,11.493703171206802,10.97152440650486,5.656356794809111,0.870866417671179,3.558539476511122,2.7618110418265127,9.60518808925238,8,30.855,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,12000,11.95356791596366,11.43138915126172,6.001182824011377,0.870866417671179,3.558539476511122,0.2532835188643187,8.14116635244855,8,32.736,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,15000,12.643365033098949,12.121186268397008,6.518421867814777,0.870866417671179,3.558539476511122,-3.5095077655789666,6.1528960424792265,9,35.5575,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,18000,13.333162150234235,12.810983385532294,7.035660911618177,0.870866417671179,3.558539476511122,-7.2722990500222595,4.364579517368263,11,38.379,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,21000,14.022959267369522,13.500780502667583,7.552899955421577,0.870866417671179,3.558539476511122,-11.035090334465549,2.7342895117037447,13,41.2005,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,10,24000,14.71275638450481,14.19057761980287,8.070138999224978,0.870866417671179,3.558539476511122,-14.79788161890883,1.230435149118847,14,44.022,9548.198368948177,636.5465579298784,63.93002671810801,0.39017288694272206,90642,1,0.12915388713630335,31881.7565983104,22527.36339071236,70.6591034946494,29.3408965053506
0.2,15,2000,11.496601598982464,10.994659505143384,5.976866492680582,1.2505799884336577,3.064216587700126,2.868348484284837,9.539981021938548,8,34.056,9954.468522436857,663.6312348291237,63.14227050606537,0.2713243108673915,79066,1,0.0914643174654151,31881.7565983104,22186.50260894225,69.58996296370333,30.410037036296668
0.2,15,4000,11.93469033482565,11.432748240986568,6.3069841187298,1.2505799884336577,3.064216587700126,0.37213244764652104,8.192397245240276,8,35.937,9954.468522436857,663.6312348291237,63.14227050606537,0.2721801813803146,79066,1,0.08858651935010581,31881.7565983104,22138.862177938594,69.44053446262075,30.55946553737926
0.2,15,6000,12.37277907066883,11.870836976829748,6.637101744779018,1.2505799884336577,3.064216587700126,-2.124083588991791,6.939797720609755,9,37.818,9954.468522436857,663.6312348291237,63.14227050606537,0.2723295363520329,79066,1,0.08808432485966214,31881.7565983104,22130.361972569168,69.41387280317542,30.586127196824574
