re_fraction,re_capacity_MW,electrolyser_MW,storage_kg,LCOH_EUR_per_kg,LCOH_curtailment,total_H2_tonnes,capacity_factor,curtailment_fraction,SEC_stack_mean,SEC_total_mean,unmet_pct,stack_replacements,operating_hours,CAPEX_total_EUR,NPV_cost_EUR,LCOH_capex,LCOH_electricity,LCOH_opex_fixed,LCOH_replacement
0.2,26.400000000000002,10.0,3500.0,11.168137346936074,0.4599060229509451,9488.262333574641,0.6894977168949772,0.25718053772645466,55.553402452709435,61.6053532052654,4.016097581023832,1.0,90600.0,25590658.864703387,60286294.67881651,4.7407125371070356,3.4321080272499302,1.1733867746313407,0.3408446664870644
0.4,52.800000000000004,10.0,1000.0,9.948658442814073,1.3026731221064554,14227.32062354356,0.7973744292237442,0.5458648389169526,57.582428863236856,63.4000584430471,3.3566768825946345,1.0,104775.0,23390658.864703387,80484644.05519027,2.8913052735593054,4.084684596643712,0.7829436891549925,0.2819355781076666
0.5,66.0,15.0,1000.0,10.04213460792913,1.2148814954004938,19581.77672632482,0.7747716894977169,0.5605869329607559,57.08641578337055,62.95822708300763,2.803544194454611,1.0,101805.0,34645988.29705508,111826296.81151575,3.1112510028851825,3.941237748032078,0.8532030297492266,0.30723574730537445
0.6,79.2,15.0,1000.0,10.048865236389293,1.4613101893337264,21340.98093531534,0.7973744292237442,0.6123392258362488,57.582428863236856,63.4000584430471,1.8375830608750987,1.0,104775.0,34645988.29705508,121942975.48131476,2.855046516656257,4.084684596643711,0.7829436891549922,0.2819355781076666
0.8,105.60000000000001,20.0,1000.0,10.101336456013284,1.5429965457837387,28454.64124708712,0.7973744292237442,0.6465686184970844,57.582428863236856,63.4000584430471,1.2500503191591117,1.0,104775.0,45901317.729406774,163439618.27962416,2.836917138204734,4.084684596643712,0.7829436891549925,0.2819355781076666
1.0,132.0,25.0,1000.0,10.133488610188726,1.5926777820547973,35568.301558858904,0.7973744292237442,0.6673867651020011,57.582428863236856,63.4000584430471,0.9917270971132816,1.0,104775.0,57156647.161758475,204949800.14553276,2.826039511133819,4.0846845966437115,0.782943689154992,0.28193557810766656
