LCOH,total_H2_kg,NPV_cost_EUR,SEC_stack_mean,SEC_total_mean,stack_replacements,unmet_demand_frac,capacity_factor
13.300379128465492,25370016.003667004,164282215.51333565,69.62727523008138,75.59559916777735,2,0.00011177030338448608,0.4008756546562873
14.182980336122696,28778356.03879224,201990944.9440573,65.81331476578606,71.65170582529684,3,0.00010516100223315766,0.3830700608248333
13.974852354145817,28001143.774370234,218694400.874607,65.68427493873594,71.54937455794057,4,9.78204873767891e-05,0.3838951324852637
13.991535492619647,26096225.661473397,183142872.47934267,66.81163651357348,72.74741413573327,4,0.0002252979826701844,0.3961979328642963
13.502143227870791,26845688.06530076,199739423.06587866,65.29236086391944,71.19282054077478,2,0.00011076069674531768,0.3842221299945691
13.289832017092664,27711200.03404352,188522514.18586296,67.11198175236952,72.98350178837012,2,0.00011854793954203737,0.40967860602125655
11.399560322962177,26635956.439141773,183178843.42030847,65.73279965137952,71.64928614224652,3,0.00011017375945117265,0.38336364000008566
13.641320573206906,28407048.467064917,207190717.9102372,64.79565511224696,70.64311362897939,2,0.00010882965029476992,0.39232440679579694
14.812688415973906,25531627.651525617,211871165.46590415,65.59296573900943,71.54906669178946,5,0.00011540518574850926,0.3915191678282487
13.865940866451405,25373869.369826853,179894809.88406372,65.57330579474343,71.53026622752812,2,0.0007359977529493,0.38956216037094005
14.059851858368681,28243632.331498586,219301017.9591205,68.41923781682704,74.28260165824274,3,8.792355386864511e-05,0.40896070107226357
13.35930184668506,29286375.124513417,223254183.93700165,63.23859551537028,69.06327587924162,6,0.00010661702053855545,0.3973365102127881
13.304176787712462,28338092.017936412,196788177.00054342,64.11978329416426,69.9728758954963,5,0.00010241666072423157,0.38023786167962675
12.589933788399565,26922523.570164826,182219551.2740914,66.66703810026375,72.57146258359398,2,0.00010732932643044293,0.3992847868488626
11.796518187401626,26692454.9470907,169585969.20838195,66.61060841067454,72.5132022739754,3,0.00011063823665873707,0.4161975145294516
11.803421838964914,25512858.798999917,166751990.38008928,66.79605053100268,72.74741605098848,2,0.00011042038036132867,0.3916620300272053
12.837277165126475,27231819.32938476,200349302.330572,64.09217940736843,69.98076757034109,5,0.00011567993376977734,0.3800696490990787
12.213303062097859,26124437.592848554,167747529.07479125,65.72709828672204,71.65608881276196,3,0.0005761251660182521,0.38522701399766335
12.977176603807957,28604535.478140425,231863050.7023159,62.72811903052217,68.57419165404089,3,0.00011185024471627748,0.3748589926163124
14.499327771378285,26284033.907547615,204679688.60573694,65.82030827342174,71.75091061915268,4,0.00018406615797523495,0.39409987160240634
13.618734669844457,26428117.40814397,224596502.7898416,67.82950204703938,73.75016836797484,3,0.00010346931166120053,0.3992499470481426
12.278287851930411,26861413.999402586,181846814.12180853,66.64475975811726,72.54670654708335,2,0.0003003700674019064,0.3996600263924132
13.074544995963574,25609253.262128048,181185673.05285263,65.7639165733769,71.70771136790022,3,0.00020034406624979025,0.3762624801147947
11.23800550222474,28491796.767948825,199006940.448522,63.35920914952232,69.21045255274954,3,0.00010242509838609019,0.3731591982597379
13.464577525852155,28168559.43380207,207575737.86600718,67.53972930179134,73.40188365709578,3,0.00010627780002903957,0.4135733513305594
11.421003147874202,25540352.096368853,183556904.0945708,63.7993463782945,69.74655726960492,3,0.0003686673354984812,0.3685537384186155
11.799502985613517,26570138.14701295,161827725.02461186,67.30826652905326,73.22569359516,3,0.00016443859912666268,0.3948137843316573
13.861535354785508,26217163.467355672,190696279.27350932,66.76001969366547,72.68989957077879,3,0.00011149449675759815,0.39931517318874016
11.199888139331925,27636667.15003375,175163811.2989949,64.34169004914686,70.21692321675506,5,0.00013021913064727752,0.38973632925545354
13.564840663282252,26222676.230940115,200122875.9487173,65.6319490920819,71.5552574230456,4,0.0003840790972628992,0.39054844219873186
13.764412870361685,28022055.094732743,218492690.5237199,66.1539432555986,72.01496739480874,3,9.971505807328445e-05,0.40387901370276796
11.477790468359183,27898107.37970077,191855633.85011107,65.73976196099822,71.6034018257828,3,0.00011214724593167583,0.39062699221767866
13.37384446157777,26171433.30293734,166727755.99461854,68.5457941266679,74.47318233088072,4,0.00026267897154508496,0.41154227909589686
13.437862172766064,26580553.518857025,180592625.25685993,63.02482942635674,68.94294550341131,4,0.00011367787222371886,0.3738476923919654
12.14793351567156,26830620.632405337,199135567.88144735,70.31254051307329,76.22146976531094,2,9.962811869354351e-05,0.416145426037538
13.064740593505348,24646858.048063923,172730037.51225072,65.26900807120536,71.24245084742209,2,0.00019944249636059754,0.364172639043352
13.763881394661285,26936791.22314508,214286069.08047506,66.3349043992088,72.23663206189418,4,0.0001547072448885029,0.39817255306860383
14.20233848637746,25416876.192522302,193593071.5971165,70.07557141751082,76.03023077360503,5,9.993064520057075e-05,0.4112518394815737
13.358376677780514,27546809.8576357,209731730.8686769,64.74653203558601,70.62725375193509,3,0.0001063479053622991,0.3712919452206231
14.194059456672772,26215342.1405237,194435092.58107007,66.18111885408676,72.10878306062205,4,0.00010840306638423409,0.39038328437260295
12.762356834312428,24424987.545053832,176200756.17141244,68.55306181682903,74.55189438472809,3,0.00012412996466203512,0.38401894706851053
13.175697728817386,27166038.17461884,193943011.5576293,65.1565694542119,71.04824079817077,4,0.0001126994335469234,0.3883991714693963
12.76277281343207,25736646.823669177,184103493.77762568,67.21020517530943,73.15810953548473,4,0.0005604441870797754,0.41116438207257744
11.363092991715016,28523570.906561285,177953007.25774717,63.902195092571255,69.75184799509077,3,0.0001050095544433937,0.37811883648492695
13.07762967568419,26585269.321366705,199241912.07053608,65.92127129411477,71.83718144860096,5,0.00011356120424492187,0.38680774516244837
13.735215139340953,26550648.722558524,231453200.80322692,64.193997491726,70.1079256255517,4,0.00011772493392161215,0.377983687342597
12.15079528581136,27864032.07476148,179119331.82542717,66.12159776829903,71.98968989663915,3,9.792413326881065e-05,0.3930016446099754
14.092165379016203,26883006.168055702,182076718.2443253,67.8898053575668,73.79373495744159,4,0.00010403800695955653,0.4035424786318661
12.155237112115698,28126213.07224763,172603537.79742175,66.11227856435147,71.96996537307238,3,0.00010023647433126496,0.3988835170555407
12.368615742391098,27097709.4222249,169037797.13348234,67.75697764765424,73.65381940105621,3,0.00010360124024353961,0.4029014583097851
10.873127523225724,25975432.44524317,165358736.06740215,65.79503817102038,71.7322839297155,3,0.0005911238979065683,0.3915923097089051
15.010480814624357,25449865.56005883,173760666.5494171,66.7071387364353,72.67950225269708,2,0.0001145846607303323,0.3887560077955649
13.650687481177775,28021190.992988065,194289012.91954735,66.14615854215799,72.00818729333625,4,0.000102735216031898,0.40829052988035514
11.873697029490723,27283256.43256468,178472739.749982,65.40318856185232,71.2926292043594,3,0.00010733460398527957,0.3897485665061719
13.176220353042682,24966293.491632394,192575056.6500179,66.35164797353113,72.32609322523909,3,0.0004436790043986363,0.3818697819855077
12.917099584932908,26086729.62604163,198116605.38342896,65.66042512824815,71.59636819168303,2,0.00018324301550282055,0.39344168669514923
11.811480308290319,26387084.064994037,194271810.0959375,66.51786075905987,72.43674993892323,4,0.00011060193841873236,0.40045594986016236
14.034231756061928,27597599.314144675,223527949.27791077,66.22880937668738,72.10717552255204,4,0.00010159163666870458,0.39356564580726594
15.025714621452122,25785122.027708154,221818636.61914462,66.29897600500134,72.24433489276583,4,0.00012105551852736578,0.37748373160335835
14.319240699958893,25458931.41035222,192382741.92588103,69.06041023164437,75.02197750186457,3,0.00022014626436449961,0.4122338040998344
12.232627460332303,26462862.875714615,183164229.88514853,64.06538744492723,69.98425611541302,4,0.00013480012996896717,0.38640644013203507
