re_fraction,size_MW,storage_kg,LCOH,LCOH_credits,LCOH_capex,LCOH_opex,LCOH_elec,NPV_M,IRR,payback,CAPEX_M,H2_total_t,H2_annual_t,SEC,CF,op_hours,replacements,curtailment,cycles,demand_total_t,unmet_demand_t,unmet_demand_pct,demand_met_pct
0.2,5,2000,4.556147850470486,4.556147850470486,1.678930501363338,0.2454164600374971,2.783720908826405,1.5389626260934341,10.914900096838938,7.0,8.7835,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22736.57074842768,71.67378170817686,28.326218291823135
0.2,5,4000,4.915693393029197,4.915693393029197,2.0384760439220493,0.2454164600374971,2.783720908826405,-0.3865991272754874,7.371594899455615,9.0,10.6645,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22735.57074842768,71.6706293514516,28.3293706485484
0.2,5,6000,5.275238935587908,5.275238935587908,2.3980215864807604,0.2454164600374971,2.783720908826405,-2.3121608806444063,4.689225135546395,10.0,12.5455,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22734.57074842768,71.66747699472634,28.332523005273657
0.2,5,8000,5.63478447814662,5.63478447814662,2.757567129039472,0.2454164600374971,2.783720908826405,-4.2377226340133305,2.5551279536939235,13.0,14.4265,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22733.57074842768,71.66432463800108,28.335675361998923
0.2,5,10000,5.994330020705331,5.994330020705331,3.117112671598183,0.2454164600374971,2.783720908826405,-6.1632843873822525,0.796112178128595,15.0,16.3075,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22732.57074842768,71.66117228127582,28.33882771872418
0.2,5,12000,6.353875563264041,6.353875563264041,3.4766582141568936,0.2454164600374971,2.783720908826405,-8.088846140751171,-0.6924823783235283,inf,18.1885,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22731.57074842768,71.65801992455056,28.341980075449445
0.2,5,15000,6.893193877102109,6.893193877102109,4.015976527994961,0.2454164600374971,2.783720908826405,-10.977188770804558,-2.5597839499426964,inf,21.01,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22730.07074842768,71.65329138946267,28.34670861053733
0.2,5,18000,7.432512190940177,7.432512190940177,4.555294841833027,0.2454164600374971,2.783720908826405,-13.865531400857934,-4.110347408107019,inf,23.8315,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22728.57074842768,71.64856285437477,28.351437145625226
0.2,5,21000,7.971830504778241,7.971830504778241,5.094613155671094,0.2454164600374971,2.783720908826405,-16.75387403091132,-5.431709989598643,inf,26.653,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22727.07074842768,71.64383431928688,28.35616568071312
0.2,5,24000,8.51114881861631,8.51114881861631,5.633931469509161,0.2454164600374971,2.783720908826405,-19.642216660964703,-6.58041981841106,inf,29.4745,9168.089213153116,611.2059475435411,45.39601635938616,0.6894977168949772,90600.0,1,0.3362557248300549,1694,31722.29817731773,22725.57074842768,71.63910578419899,28.360894215801014
0.2,10,2000,5.562970499480168,5.562970499480168,2.4410148607607547,0.39960119872994865,2.861916687451503,-4.025776994782674,3.503308863759749,12.0,15.686,11261.227479552956,750.7484986368637,47.0741386408832,0.5218036529680365,68565.0,1,0.08890897157254778,747,31722.29817731773,20685.306498315927,65.20746505404978,34.79253494595022
0.2,10,4000,5.855686867776163,5.855686867776163,2.7337312290567497,0.39960119872994865,2.861916687451503,-5.951338748151593,1.9009757303373214,13.0,17.567,11261.227479552956,750.7484986368637,47.0741386408832,0.5218036529680365,68565.0,1,0.08890897157254778,747,31722.29817731773,20684.306498315927,65.20431269732451,34.795687302675496
0.2,10,6000,6.148403236072158,6.148403236072158,3.026447597352745,0.39960119872994865,2.861916687451503,-7.876900501520516,0.5268191870200815,15.0,19.448,11261.227479552956,750.7484986368637,47.0741386408832,0.5218036529680365,68565.0,1,0.08890897157254778,747,31722.29817731773,20683.306498315927,65.20116034059924,34.79883965940075
