cf,elec_mw,stor_kg,lcoh,h2_kt,unmet_pct,sec,n_repl
20,5.714285714285714,300.0,10.511930470798971,482.8747760328852,0.0011783108913110422,57.94093863266193,1
40,10.571428571428571,500.0,10.484556876918454,931.4284328306092,0.0,57.73739596638065,1
50,13.428571428571429,1000.0,10.538455736181046,1173.160908916868,0.0,57.776199796988976,1
60,16.285714285714285,1500.0,10.573774350038752,1414.9151673073752,0.0,57.80352294723572,1
80,21.142857142857142,2000.0,10.576164775893016,1862.8568656612183,0.0,57.73739596638065,1
100,26.42857142857143,3000.0,10.612807935482842,2328.571082076523,0.0,57.73739596638065,1
