Parameter,Base_Value,LCOH_Base,LCOH_Min,LCOH_Max,LCOH_Range,Value_at_Min,Value_at_Max
DISCOUNT_RATE,0.08,10.842121521200802,9.51969519126411,13.141386467694874,3.621691276430763,0.05,0.12
R_OHM,0.2,10.842121521200802,10.281891398913194,11.62739733409081,1.3455059351776164,0.1,0.3
ETA_F,0.97,10.842121521200802,10.622591900214523,11.309507165881277,0.6869152656667534,0.99,0.93
CAPEX_EUR_PER_KW,1300.0,10.842121521200802,10.842121521200802,10.842121521200802,0.0,800.0,800.0
LCOE_EUR_PER_KWH,0.07,10.842121521200802,10.842121521200802,10.842121521200802,0.0,0.03,0.03
DEG_RATE_BASE,2.5e-06,10.842121521200802,10.842121521200802,10.842121521200802,0.0,1.5e-06,1.5e-06
