,mean,std,median,p5,p25,p75,p95,min,max
LCOH,10.177336478410567,0.9813608455720291,10.237343519461417,8.62034396034311,9.368798711312655,10.842728520833617,11.7732645308152,8.3284101019215,12.301922107630803
total_H2_kg,27450893.97880263,1081840.7981472642,27443678.54116606,25719815.920189314,26729556.326359447,28095116.32130532,29284352.703983765,25014256.99763869,30199189.383392174
NPV_cost_EUR,153577774.2479275,16537112.75770437,152052296.96309036,130120564.89540198,142013407.20698485,163784341.94639575,184186133.74157777,122082675.62923793,194190879.77291226
SEC_stack_mean,65.59834246453987,1.6637997594045986,65.56598613895896,62.535287493906225,64.79241858609618,66.68598703303492,68.38042180685096,62.034454770359986,69.89510195771423
SEC_total_mean,71.51788226711261,1.679897430855536,71.46456282089628,68.36424748660045,70.70992480883424,72.6311577579621,74.39377574822429,67.93765764903956,75.80353607400626
stack_replacements,3.31,0.9969453345093703,3.0,2.0,3.0,4.0,5.0,2.0,6.0
unmet_demand_frac,0.24236195126073967,0.03075008730136468,0.24207622092276573,0.18661834282226566,0.2219994478875604,0.25987247228185245,0.29451170967344503,0.17227975286433134,0.32253828713123206
capacity_factor,0.5983717242327611,0.01719115618768124,0.5985293744931884,0.5723966643292024,0.5867543325260197,0.6110480379447545,0.6263842489104949,0.5538212947344336,0.6360088619874821
