param,low,high,swing,delta_low,delta_high
Electricity Price (€/kWh),7.35098815817044,9.098917319691912,0.8739645807607359,-0.8739645807607355,0.8739645807607364
Ohmic Resistance (Ω·cm²),8.24816495883572,8.667646177005418,0.20974060908484926,0.023212219904543474,0.442693438074242
Discount Rate,8.041642548801363,8.421393901171085,0.1898756761848608,-0.18331019012981287,0.1964411622399087
BoP CAPEX Fraction,8.633186265240967,8.555954504188984,0.03861588052599174,0.4082335263097914,0.3310017652578079
Stack CAPEX (€/kW),8.224952738931176,8.224952738931176,0.0,0.0,0.0
Stack Lifetime (h),8.224952738931176,8.224952738931176,0.0,0.0,0.0
