param,low,high,swing,delta_low,delta_high
Electricity Price (€/kWh),3.7607223391257647,5.07290247372002,0.6560900672971275,-0.6560900672971282,0.6560900672971268
Stack CAPEX (€/kW),4.251919600625424,4.581705212220362,0.1648928057974688,-0.1648928057974688,0.1648928057974688
Discount Rate,4.3040146194450015,4.53531739929496,0.11565138992497914,-0.11279778697789133,0.11850499287206695
BoP CAPEX (€/kW),4.333473943526553,4.500150869319233,0.08333846289634028,-0.08333846289634028,0.08333846289634028
Degradation Rate (μV/h),4.404158023412438,4.429440715476407,0.012641346031984302,-0.01265438301045485,0.012628309053513753
Stack Lifetime (h),4.430678715489851,4.411098187594536,0.009790263947657252,0.01386630906695796,-0.005714218828356543
